"branch","sigma_3","sigma_1","sigma_n","tau","alpha_deg","beta_deg","beta_rad","sigma_n_pri","tau_pri"
"NGC",-19.9999999998886,75.5124928532805,-19.9537059294851,2.10226518964584,88.7384911094983,87.4769822189966,1.52676135943003,-0.997685296474257,0.105113259482292
"NGC",-19.9999999998815,75.5124928678156,-19.9529855282613,2.11855116170423,88.7287119708122,87.4574239416244,1.52642000309386,-0.997649276413064,0.105927558085212
"NGC",-19.999999999874,75.512492882921,-19.952259567759,2.13483688691795,88.7189328321262,87.4378656642523,1.5260786467577,-0.997612978387949,0.106741844345897
"NGC",-19.9999999998661,75.5124928986144,-19.9515280480628,2.15112236339,88.7091536934401,87.4183073868802,1.52573729042154,-0.997576402403138,0.1075561181695
"NGC",-19.9999999998577,75.5124929149139,-19.9507909692578,2.16740758922343,88.6993745547541,87.3987491095081,1.52539593408538,-0.99753954846289,0.108370379461171
"NGC",-19.9999999998489,75.5124929318382,-19.95004833143,2.18369256252138,88.689595416068,87.379190832136,1.52505457774922,-0.9975024165715,0.109184628126069
"NGC",-19.9999999998397,75.5124929494063,-19.9493001346658,2.19997728138701,88.6798162773819,87.3596325547639,1.52471322141305,-0.997465006733289,0.10999886406935
"NGC",-19.9999999998299,75.5124929676377,-19.9485463790523,2.21626174392352,88.6700371386959,87.3400742773917,1.52437186507689,-0.997427318952616,0.110813087196176
"NGC",-19.9999999998196,75.5124929865521,-19.9477870646774,2.2325459482342,88.6602580000098,87.3205160000196,1.52403050874073,-0.997389353233869,0.11162729741171
"NGC",-19.9999999998088,75.5124930061701,-19.9470221916294,2.24882989242234,88.6504788613237,87.3009577226475,1.52368915240457,-0.997351109581469,0.112441494621117
"NGC",-19.9999999997975,75.5124930265123,-19.9462517599974,2.26511357459137,88.6406997226377,87.2813994452754,1.52334779606841,-0.99731258799987,0.113255678729568
"NGC",-19.9999999997855,75.5124930476,-19.9454757698711,2.28139699284468,88.6309205839516,87.2618411679033,1.52300643973225,-0.997273788493557,0.114069849642234
"NGC",-19.9999999997729,75.5124930694549,-19.944694221341,2.29768014528579,88.6211414452656,87.2422828905311,1.52266508339608,-0.997234711067049,0.11488400726429
"NGC",-19.9999999997597,75.5124930920992,-19.9439071144979,2.31396303001824,88.6113623065795,87.222724613159,1.52232372705992,-0.997195355724897,0.115698151500912
"NGC",-19.9999999997458,75.5124931155555,-19.9431144494336,2.33024564514561,88.6015831678935,87.2031663357869,1.52198237072376,-0.997155722471681,0.116512282257281
